price,status,items_sold,shipping,name,free_returns
,,,,,False
4498,Brand New,33,399,BRAZUCA ADIDAS OFFICIAL SOCCER MATCH BALL FIFA WORLD CUP 2014 BRASIL BALL SIZE 5,False
4499,Brand New,,399,Adidas Ball Final RIO Soccer Match Ball FIFA World Cup Brazuca Official Size 5,False
4500,Brand New,,0,ADIDAS BRAZUCA OFFICIAL SOCCER MATCH BALL | FIFA WORLD CUP 2014 REPLICA,False
4498,Brand New,,499,Adidas Brazuca Match Ball Best Quality 2014 FIFA World Cup Soccer Ball Size 5,False
4299,Brand New,52,0,ADIDAS BRAZUCA OFFICIAL SOCCER MATCH BALL FIFA WORLD CUP 2014 BRAZIL SIZE 5,False
28000,Pre-Owned,,925,ADIDAS BRAZUCA OFFICIAL MATCHBALL WORLD CUP BRAZIL 2014. USED.,False
32500,New (Other),,0,New ListingADIDAS SOCCER MATCH BALL BRAZUCA FOOTBALL OMB FOOTGOLF AUSTRALIA FIFA WORLD CUP,False
4498,Brand New,,0,Adidas Brazuca Best Soccer Match Ball 2014 FiFA World Cup Football Ball New,False
5500,Brand New,,0,ADIDAS BRAZUCA OFFICIAL SOCCER MATCH BALL FIFA WORLD CUP 2014 BRAZIL SIZE 5,False
4095,Brand New,,1500,ADIDAS BRAZIL FIFA WORLD CUP 2014 BRAZUCA MATCH SOCCER BALL SIZE 5,False
8900,Brand New,,0,RARE Adidas Brazuca FIFA (World Cup Brazil 2014) Official Size 1 Ball MINI,False
3500,Brand New,,1999,Adidas BRAZUCA OMB FIFA World Cup BRASIL 2014 size 5 Replica,False
3000,Pre-Owned,,0,Adidas Brazuca Match Ball FIFA World Cup,False
34900,Brand New,,2200,Adidas BRAZUCA OMB FIFA World Cup BRASIL 2014 size 5,False
3000,Brand New,167,2500,ADIDAS BRAZUCA OFFICIAL SOCCER MATCH BALL | FIFA WORLD CUP 2014 ORIGINAL REPLICA,False
2990,Pre-Owned,,915,Adidas Brazuca 2014 World Cup Brazil FIFA Match Ball Replica Glider Soccer Six 4,True
5499,Brand New,,0,ADIDAS BRAZUCA & BRAZUCA FINAL RIO FOOTBALL WORLD CUP SOCCER MATCH BALL 5,False
5459,New (Other),,0,adidas Brazuca 2014 FIFA World Cup Final Rio Match Ball - Size 5,False
6746,New (Other),,0,FIFA WORLD CUP 2014 BRAZIL FOOTBALL BRAZUCA SIZE 5 RONALDO,False
3995,Brand New,,1099,NEW Adidas World Cup Brazuca Glider  Soccer Ball Size 5 Match Ball Replica,False
5625,Brand New,28,999,Adidas Brazuca Official Final RIO Soccer Match Ball -FIFA World Cup 2014 REPLICA,False
50000,Brand New,,0,ADIDAS BRAZUCA 2014 FINAL OFFICIAL MATCH BALL 2014 BRAZIL FIFA WORLD CUP NEW,False
407165,Brand New,,7033,🔶️ADIDAS BRAZUCA 2 CONEXT15 OFFICIAL MATCH BALL FIFA WORLD CUP SAMPLE SOCCER ,False
3999,Brand New,,0,NEW ADIDAS BRAZUCA Official Soccer Match Ball FIFA WORLD CUP 2014 BRAZIL Replica,False
40122,Brand New,,,Adidas Brazuca Official Match Ball 2014 Brasil World Cup in its original box,False
4199,Brand New,,0,BRAZUCA ADIDAS OFFICIAL SOCCER MATCH BALL FIFA WORLD CUP 2014 BRAZIL BALL SIZE 5,False
49900,Brand New,,1595,Adidas Brazuca Official Final Match Soccer Ball Argentina vs Germany Size 5,False
70329,Brand New,,5752,Adidas Brazuca Official Match Ball Fifa World Cup Brazil 2014,False
4800,Brand New,,0,ADIDAS BRAZUCA & BRAZUCA FINAL RIO FOOTBALL WORLD CUP 2014 SOCCER MATCH BALL 5,False
5362,New (Other),,0,WORLD CUP 2014 BRAZUCA  BRAZIL Official Match Football  SIZE 5 Air-Filled Gift,False
24900,New (Other),,0,Adidas Tango 12 Prototype Ball Brazuca Design Before Actual,False
43900,Brand New,,0,Adidas  BRAZUCA  MLS Allstar all star game OFFICIAL RARE Ball size 5,False
14995,Brand New,,0,adidas Brazuca FIFA (World Cup Brazil 2014) Official Size 1 Ball,False
52499,Brand New,,0,Adidas Brazuca Official Final Match Soccer Ball Argentina vs Germany Size 5,True
4199,Brand New,,0,NEW ADIDAS BRAZUCA OFFICIAL FINAL RIO SOCCER BALL FIFA WORLD CUP 2014 MATCH BALL,False
140000,Brand New,,0,New In Box Brazuca 2014 World Cup Final Official Match Ball Rio Brasil G84000,False
79999,Brand New,,1500,NIB！2014 FIFA Brasil World Cup FINAL ADIDAS Brazuca official Match kick off ball,False
