price,status,items_sold,shipping,name,free_returns
,,,,,False
1499,,,599,McDonald's Rick & Morty Szechuan Sauce NEWEST Version Brand New Sealed USA FAST,False
29999,,,0,Rick and Morty McDonalds Szechuan Sauce New Never Opened Very Rare One Packet ,False
1499,,,599,Set of 3 Szechuan Sauce Mcdonalds Rick and Morty New and unopened ,False
30000,,,540,Szechuan Sauce McDonalds Rick and Morty - Stood in line myself. NEVER OPENED!!!,False
2000,Brand New,21,0,McDonald's Szechuan Sauce Packets Unopened 2018 as mentioned in Rick & Morty,False
5999,,,331,"Rick and Morty McDonalds Szechuan Sauce Mini Poster Sticker! Rare, original!",False
2588,,,390,RARE UNRELEASED Rick and Morty McDonald's Szechuan Sauce Holographic Card Decal,False
699,Brand New,,520,Sealed! (2)McDonalds Szechuan Sauce Packets Mulan Rick And Morty 2018,False
100000,Brand New,,0,2018 Mcdonalds Szechuan Sauce Rick & Morty Limited Edition,False
2000,Brand New,,475,McDonald's Szechuan Sauce Packet Unopened 2018 Rick & Morty Ad Campaign,False
150000,Brand New,,0,#05/1000 RICK AND MORTY Szechuan Sauce POSTER! McDonalds FULL SIZE & Limited Ed!,False
25000,Brand New,,0,RICK AND MORTY RARE MCDONALD'S SZECHUAN SAUCE .9 OZ PACKAGE #121,False
49000,Brand New,,,250 McDonald's Szechuan Sauce Packets in Original Box - Rick and Morty,False
4200,Pre-Owned,,1325,LOT OF 15 MCDONALD'S TRANSLITE SIGNS 90s 1990s McRib Szechuan Sauce Arch Deluxe,False
4000,,,500,Sealed McDonalds Szechuan Sauce from 2018 'Rick and Morty'  (10 packs),False
75000,,,1599,RARE~ SZECHUAN SAUCE~ ORIGINAL 1 & 2ND ONE PRODUCED~ MCDONALDS SAUCE~ UNOPEN~,False
4999,,,0,McDonalds Szechuan Sauce 3 packets UNOPENED/SEALED Rick and Morty,False
30000,,,0,Rick & Morty Szechuan Sauce POSTER #71/250 RARE! 18” X 24” LAST ONE I HAVE!,False
559,Brand New,,442,Rick and Morty Szechuan Dipping Sauce - 20 oz. Glossy Plastic Cup - 2020,True
2599,,,0,Rick and Morty Szechuan Dipping Sauce Ceramic Coffee Mug 16 oz. NEW IN BOX,False
1599,Brand New,,299,Rick and Morty McDonalds Szechuan Sauce TANK-TOP,False
1960,Brand New,,520,New Large Rick & Morty Adult Swim Szechuan Sauce Black Shirt,False
1799,Pre-Owned,,0,Rick and Morty Szechuan Sauce L/S T-Shirt S Adult Swim 2018 Its Delicious ,True
1399,Brand New,,0,Rick and Morty Szechuan Dipping Sauce Shot Glass,True
1485,Brand New,,0,San J Gluten Free Szechuan Sauce,False
54999,Brand New,,550,McDonald’s Obsauced/Szechuan Sauce Poster (0023/1000),False
2497,Pre-Owned,,625,New ListingSzechuan Dipping Sauce Rick and Morty Long Sleeve T Shirt Men's Size Medium,False
1075,Brand New,17,299,Rick and Morty McDonalds Szechuan Sauce T-Shirt,True
500000,,,0,RICK AND MORTY MCDONALDS SZECHUAN SAUCE POSTER AND SAUCE RARE LIMITED FROM SPACE,False
1995,,,995,Rick and Morty Szechuan Dipping Sauce Ceramic Coffee Mug 16 oz. ~ Gently Used!,False
1295,Brand New,,550,Szechuan Sauce Novelty Gift Boxer Briefs mens L 36”-38” New With tags,False
81969,Pre-Owned,,0,Funko Mystery Minis – RICK AND MORTY full set of 58 figures & Szechuan Sauce!,False
1500,Brand New,,0,SWAG Boxer Brief - McDonald's Szechuan Sauce Print - Medium - NWT,True
1199,Brand New,,800,House of Tsang Szechuan Spicy Stir Fry Sauce~ 11.5oz~ BB 12/2022~ Lot of 2,True
1500,Pre-Owned,,498,Rick And Morty Szechuan Dipping Sauce Unisex T-Shirt Adult Swim Size L,False
1999,Brand New,,0,NWT Rick And Morty Szechuan Dipping Sauce T-Shirt Tee Sz Large Red Adult Swim,False
1500,Brand New,,450,Rick & Morty Adult Swim T-Shirt Szechuan Sauce Men's Size Large,True
1099,Pre-Owned,,799,Rick And Morty Szechuan Dipping Sauce Size S Small T Shirt Adult Swim,True
1300,Pre-Owned,,0,Ripple Junction Rick and Morty Szechuan Sauce T-shirt Mens M Adult Swim,True
1040,Pre-Owned,,0,Rick and Morty I Need That Szechuan Sauce T-Shirt Size Mens Large Black,True
999,New (Other),,580,Rick and Morty Mens Shirt Size Large Szechuan Sauce Black Crew Neck T-Shirt,False
1500,New (Other),,500,Rick And Morty Shirt Size XL I Need That Szechuan Sauce,False
1500,Brand New,,450,Rick & Morty  Adult Swim T-Shirt Szechuan Sauce Men's Size Small,True
945,Pre-Owned,,525,Rick & Morty Szechuan Dipping Sauce Adult Swim Red T Shirt Men’s S,True
