price,status,items_sold,shipping,name,free_returns
,,,,,False
91800,Brand New,177,0,Microsoft XBOX Series  X 1TB Game Console Black - Fast Free Shipping - Brand New,True
107900,Brand New,115,,Microsoft Xbox Series X 1TB Console *NEW* SEALED* FREE SHIP EXPRESS OVERNIGHT!,True
54000,Pre-Owned,,4910,New ListingMicrosoft Xbox Series X 1TB Video Game Console - Black,False
91900,Brand New,774,0,Microsoft Xbox Series X 1TB Video Game Console - Black - New!!!! Ready to Ship,True
85999,Open Box,,0,New ListingMicrosoft Xbox Series X 1TB Video Game Console - Black - JAT0004,True
80000,Brand New,,1000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
67000,Brand New,,5675,New ListingMicrosoft Xbox Series X 1TB Console Black,False
88888,Brand New,24,0,Microsoft Xbox Series X 1 TB Console ✅BRAND NEW IN HAND SHIPS FAST,False
70000,Brand New,,5000,New ListingXbox Series X Console. BRAND NEW. ,False
79500,Brand New,,4500,New ListingMicrosoft Xbox Series X 1TB Video Game Console - Black,False
91999,Brand New,158,0,Microsoft Xbox Series X 1TB Game Console Black - In Hand Ready To Ship - New,False
70100,Pre-Owned,,2240,xbox series x console,False
84999,Brand New,,3407,Microsoft Xbox Series X 1TB Video Game Console - Black,False
87999,Brand New,,0,New ListingMicrosoft Xbox Series X 1TB Video Game Console Black New In Box ,False
67299,Brand New,,5000,New ListingNew! Sealed! Microsoft Xbox Series X 1TB Video Game Console,False
83900,Brand New,,2199,Microsoft Xbox Series X 1TB Video Game Console - Black BRAND NEW,False
85000,Pre-Owned,,0,New ListingMicrosoft Xbox Series X 1TB Console Complete With 6 Games.,False
82250,Brand New,,6420,New ListingXBOX Series X 1TB Microsoft Console Black BRAND NEW 🔥IN HAND FAST SHIPPING🔥,False
71000,Brand New,,550,New Listingxbox series x,False
86000,Pre-Owned,,,xbox series x bundle,False
39999,Brand New,,0,BRAND NEW SEALED Microsoft Xbox Series X and S FREE 2 day Shipping,False
79000,Brand New,,6415,New ListingMicrosoft Xbox Series X 1TB Video Game Console - Black Brand New On Hand,False
89999,Brand New,,0,New ListingNew Sealed Microsoft Xbox Series X on Hand Ship Fast,False
87500,Open Box,,0,Microsoft Xbox Series X 1TB Video Game Console - Black,False
68000,Pre-Owned,,2000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
89999,Brand New,,0,Xbox Series X 1TB Console Microsoft NEW IN HAND SHIPS IMMEDIATELY FREE SHIPPING,False
77500,Open Box,,2500,New ListingMicrosoft Xbox Series X 1TB Video Game Console - Black,False
59500,Pre-Owned,,1900,New ListingMicrosoft Xbox Series X RUNS PERFECT!! 1TB Video Game Console - Black,False
79000,Brand New,,1800,New ListingMicrosoft XBOX Series  X 1TB Game Console Black - - Brand New,False
90299,Brand New,30,0,Microsoft Xbox Series X Console 1TB Black In Hand Brand New In Box Fast Shipping,False
90900,Brand New,,0,Microsoft Xbox Series X 1TB Console with Extra Wireless Controller Electric Volt,True
95000,Brand New,,,New ListingXbox Series X 1TB Console Halo Infinite Limited Edition Bundle (READ DESCR.),False
84500,Pre-Owned,,0,New ListingMicrosoft Xbox Series X 1TB Video Game Console - Black,False
125000,Brand New,,1803,New ListingXbox Series X Halo Infinite limited edition *Pre Order* console ,False
88000,Pre-Owned,,3000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
76000,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console - Black,False
95000,Pre-Owned,,550,Microsoft Xbox Series X (ONLY USED ONCE) (MINT CONDITION),False
89995,Brand New,,1995,New ListingBRAND NEW Xbox Series X 1TB Video Game Console (PRO SELLER) - SHIPS SAME DAY,False
107900,Brand New,,0,Microsoft XBOX SERIES X 1TB Video Game Console IN HAND BRAND NEW FREE SHIPPING,False
99997,Brand New,,5065,Microsoft Xbox Series X 1TB Video Game Console - Black - New!!!! Ready to Ship,False
62500,Pre-Owned,,6599,"New ListingMICROSOFT XBOX SERIES X 1TB VIDEO GAME CONSOLE, BLACK, EXCELLENT CONDITION!",False
94999,Brand New,,0,New ListingMicrosoft Xbox Series X 1TB Game Console EXTRA CONTROLLER !!FREE SHIPPING!!,False
109999,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console - FREE 2 DAY SHIPPING! 🚚💨 ,False
85000,Brand New,,,Microsoft Xbox Series X 1TB Video Game Console - Black *READ DESCRIPTION*,False
79999,Pre-Owned,,0,Microsoft Xbox Series X 1TB Video Game Console - Black. Controller included.   ,False
80000,Brand New,,0,New ListingMicrosoft Xbox Series X Halo Infinite Edition 1TB Black Console PRE-ORDER,False
88999,Brand New,,0,Microsoft Xbox Series X Console- FREE SHIPPING,False
